Setting,Model,Accuracy,Precision,Recall,F1
Raw,KNN (k=3),0.9991,0.9982,1.0,0.9991
Raw,Logistic Regression,0.9995,0.9991,1.0,0.9996
Raw,Gaussian Naive Bayes,0.9972,0.9974,0.9974,0.9974
PCA,KNN (k=3),0.9991,0.9982,1.0,0.9991
PCA,Logistic Regression,0.9991,0.9982,1.0,0.9991
PCA,Gaussian Naive Bayes,0.9844,1.0,0.9709,0.9852
